"",Date,Index,Cases
"9",2011-11-10,63,1
"10",2011-11-11,64,0
"11",2011-11-12,65,0
"12",2011-11-13,66,0
"13",2011-11-14,67,0
"14",2011-11-15,68,0
"15",2011-11-16,69,0
"16",2011-11-17,70,0
"17",2011-11-18,71,0
"18",2011-11-19,72,0
"19",2011-11-20,73,0
"20",2011-11-21,74,0
"21",2011-11-22,75,0
"22",2011-11-23,76,0
"23",2011-11-24,77,0
"24",2011-11-25,78,0
"25",2011-11-26,79,0
"26",2011-11-27,80,1
"27",2011-11-28,81,3
"28",2011-11-29,82,1
"29",2011-11-30,83,1
"30",2011-12-01,84,8
"31",2011-12-02,85,4
"32",2011-12-03,86,8
"33",2011-12-04,87,11
"34",2011-12-05,88,7
"35",2011-12-06,89,15
"36",2011-12-07,90,19
"37",2011-12-08,91,12
"38",2011-12-09,92,14
"39",2011-12-10,93,10
"40",2011-12-11,94,14
"41",2011-12-12,95,10
"42",2011-12-13,96,8
"43",2011-12-14,97,2
"44",2011-12-15,98,1
"45",2011-12-16,99,1
"46",2011-12-17,100,0
"47",2011-12-18,101,1
"48",2011-12-19,102,1
"49",2011-12-20,103,2
"50",2011-12-27,110,0
"51",2012-01-03,117,0
"52",2012-01-10,124,0
"53",2012-01-17,131,0
"54",2012-01-24,138,0
"55",2012-01-31,145,0
"56",2012-02-07,152,0
"57",2012-02-14,159,0
