"",Date,Cases
"1",2015-10-19,1
"2",2015-10-22,2
"3",2015-10-23,1
"4",2015-10-24,4
"5",2015-10-25,2
"6",2015-10-26,5
"7",2015-10-27,2
"8",2015-10-28,4
"9",2015-10-29,5
"10",2015-10-30,4
"11",2015-10-31,6
"12",2015-11-01,8
"13",2015-11-02,11
"14",2015-11-03,11
"15",2015-11-04,22
"16",2015-11-05,31
"17",2015-11-06,32
"18",2015-11-07,40
"19",2015-11-08,42
"20",2015-11-09,54
"21",2015-11-10,56
"22",2015-11-11,31
"23",2015-11-12,26
"24",2015-11-13,19
"25",2015-11-14,34
"26",2015-11-15,43
"27",2015-11-16,44
"28",2015-11-17,57
"29",2015-11-18,47
"30",2015-11-19,51
"31",2015-11-20,48
"32",2015-11-21,47
"33",2015-11-22,38
"34",2015-11-23,57
"35",2015-11-24,47
"36",2015-11-25,38
"37",2015-11-26,48
"38",2015-11-27,26
"39",2015-11-28,38
"40",2015-11-29,43
"41",2015-11-30,40
"42",2015-12-01,59
"43",2015-12-02,38
"44",2015-12-03,33
"45",2015-12-04,33
"46",2015-12-05,44
"47",2015-12-06,35
"48",2015-12-07,34
"49",2015-12-08,31
"50",2015-12-09,23
"51",2015-12-10,21
"52",2015-12-11,12
"53",2015-12-12,12
"54",2015-12-13,12
"55",2015-12-14,10
"56",2015-12-15,15
"57",2015-12-16,9
"58",2015-12-17,8
"59",2015-12-18,7
"60",2015-12-19,21
"61",2015-12-20,15
"62",2015-12-21,2
"63",2015-12-22,11
"64",2015-12-23,9
"65",2015-12-24,14
"66",2015-12-25,4
"67",2015-12-26,7
"68",2015-12-27,15
"69",2015-12-28,14
"70",2015-12-29,13
"71",2015-12-30,6
"72",2015-12-31,12
"73",2016-01-01,49
"74",2016-01-02,22
"75",2016-01-03,9
"76",2016-01-04,6
"77",2016-01-05,8
"78",2016-01-07,5
"79",2016-01-08,12
"80",2016-01-09,5
"81",2016-01-10,10
"82",2016-01-11,8
"83",2016-01-12,11
"84",2016-01-13,15
"85",2016-01-14,5
"86",2016-01-15,9
"87",2016-01-16,6
"88",2016-01-17,3
"89",2016-01-18,3
"90",2016-01-19,2
"91",2016-01-20,2
"92",2016-01-21,1
"93",2016-01-22,1
