"",Date,Cases
"1",2015-09-06,1
"2",2015-09-07,1
"3",2015-09-08,1
"4",2015-09-13,1
"5",2015-09-15,4
"6",2015-09-19,1
"7",2015-09-20,1
"8",2015-09-23,1
"9",2015-09-24,1
"10",2015-09-26,1
"11",2015-09-28,2
"12",2015-09-29,1
"13",2015-09-30,2
"14",2015-10-01,6
"15",2015-10-02,5
"16",2015-10-03,3
"17",2015-10-04,3
"18",2015-10-05,6
"19",2015-10-06,9
"20",2015-10-07,7
"21",2015-10-08,10
"22",2015-10-09,5
"23",2015-10-10,19
"24",2015-10-11,10
"25",2015-10-12,17
"26",2015-10-13,15
"27",2015-10-14,17
"28",2015-10-15,21
"29",2015-10-16,14
"30",2015-10-17,12
"31",2015-10-18,14
"32",2015-10-19,20
"33",2015-10-20,10
"34",2015-10-21,4
"35",2015-10-22,7
"36",2015-10-23,5
"37",2015-10-24,5
"38",2015-10-25,14
"39",2015-10-26,8
"40",2015-10-27,10
"41",2015-10-28,21
"42",2015-10-29,3
"43",2015-10-30,13
"44",2015-10-31,5
"45",2015-11-01,28
"46",2015-11-02,29
"47",2015-11-03,17
"48",2015-11-04,13
"49",2015-11-05,28
"50",2015-11-06,19
"51",2015-11-07,36
"52",2015-11-08,20
"53",2015-11-09,31
"54",2015-11-10,25
"55",2015-11-11,21
"56",2015-11-12,26
"57",2015-11-13,29
"58",2015-11-14,24
"59",2015-11-15,26
"60",2015-11-16,12
"61",2015-11-17,14
"62",2015-11-18,9
"63",2015-11-19,3
"64",2015-11-20,12
"65",2015-11-21,5
"66",2015-11-22,10
"67",2015-11-23,18
"68",2015-11-24,12
"69",2015-11-25,9
"70",2015-11-26,13
"71",2015-11-27,3
"72",2015-11-28,6
"73",2015-11-29,5
"74",2015-11-30,11
"75",2015-12-01,1
"76",2015-12-02,3
"77",2015-12-03,7
"78",2015-12-04,1
"79",2015-12-05,6
"80",2015-12-06,8
"81",2015-12-07,3
"82",2015-12-08,4
"83",2015-12-09,4
"84",2015-12-10,6
"85",2015-12-11,4
"86",2015-12-12,6
"87",2015-12-13,4
"88",2015-12-14,1
"89",2015-12-15,4
"90",2015-12-16,2
"91",2015-12-17,1
"92",2015-12-18,1
"93",2015-12-19,1
"94",2015-12-20,3
"95",2015-12-23,1
"96",2015-12-26,2
"97",2015-12-29,1
"98",2016-01-20,1
"99",2016-01-21,1
"100",2016-01-29,1
"101",2016-01-30,1
