Date,Country,State,Status,Value
01-22-2020,China,Anhui,Confirmed,1.0
01-22-2020,China,Beijing,Confirmed,14.0
01-22-2020,China,Chongqing,Confirmed,6.0
01-22-2020,China,Fujian,Confirmed,1.0
01-22-2020,China,Guangdong,Confirmed,26.0
01-22-2020,China,Guangxi,Confirmed,2.0
01-22-2020,China,Guizhou,Confirmed,1.0
01-22-2020,China,Hainan,Confirmed,4.0
01-22-2020,China,Hebei,Confirmed,1.0
01-22-2020,China,Henan,Confirmed,5.0
01-22-2020,China,Hubei,Confirmed,444.0
01-22-2020,China,Hubei,Deaths,17.0
01-22-2020,China,Hubei,Recovered,28.0
01-22-2020,China,Hunan,Confirmed,4.0
01-22-2020,China,Jiangsu,Confirmed,1.0
01-22-2020,China,Jiangxi,Confirmed,2.0
01-22-2020,China,Liaoning,Confirmed,2.0
01-22-2020,Macau,Macau,Confirmed,1.0
01-22-2020,China,Ningxia,Confirmed,1.0
01-22-2020,China,Shandong,Confirmed,2.0
01-22-2020,China,Shanghai,Confirmed,9.0
01-22-2020,China,Shanxi,Confirmed,1.0
01-22-2020,China,Sichuan,Confirmed,5.0
01-22-2020,Taiwan,Taiwan,Confirmed,1.0
01-22-2020,China,Tianjin,Confirmed,4.0
01-22-2020,United States of America,Washington,Confirmed,1.0
01-22-2020,China,Yunnan,Confirmed,1.0
01-22-2020,China,Zhejiang,Confirmed,10.0
01-22-2020,Japan,_,Confirmed,2.0
01-22-2020,Thailand,_,Confirmed,2.0
01-22-2020,South Korea,_,Confirmed,1.0
01-23-2020,China,Anhui,Confirmed,8.0
01-23-2020,China,Beijing,Confirmed,8.0
01-23-2020,China,Chongqing,Confirmed,3.0
01-23-2020,China,Fujian,Confirmed,4.0
01-23-2020,China,Gansu,Confirmed,2.0
01-23-2020,China,Guangdong,Confirmed,6.0
01-23-2020,China,Guangdong,Recovered,2.0
01-23-2020,China,Guangxi,Confirmed,3.0
01-23-2020,China,Guizhou,Confirmed,2.0
01-23-2020,China,Hainan,Confirmed,1.0
01-23-2020,China,Hebei,Deaths,1.0
01-23-2020,China,Heilongjiang,Confirmed,2.0
01-23-2020,Hong Kong,Hong Kong,Confirmed,2.0
01-23-2020,China,Hunan,Confirmed,5.0
01-23-2020,China,Jiangsu,Confirmed,4.0
01-23-2020,China,Jiangxi,Confirmed,5.0
01-23-2020,China,Jilin,Confirmed,1.0
01-23-2020,China,Liaoning,Confirmed,1.0
01-23-2020,Macau,Macau,Confirmed,1.0
01-23-2020,China,Shaanxi,Confirmed,3.0
01-23-2020,China,Shandong,Confirmed,4.0
01-23-2020,China,Shanghai,Confirmed,7.0
01-23-2020,China,Sichuan,Confirmed,3.0
01-23-2020,China,Xinjiang,Confirmed,2.0
01-23-2020,China,Yunnan,Confirmed,1.0
01-23-2020,China,Zhejiang,Confirmed,17.0
01-23-2020,Thailand,_,Confirmed,1.0
01-23-2020,Singapore,_,Confirmed,1.0
01-23-2020,Vietnam,_,Confirmed,2.0
01-24-2020,China,Hubei,Confirmed,105.0
01-24-2020,China,Hubei,Deaths,7.0
01-24-2020,China,Hubei,Recovered,3.0
01-24-2020,China,Guangdong,Confirmed,21.0
01-24-2020,China,Zhejiang,Confirmed,16.0
01-24-2020,China,Zhejiang,Recovered,1.0
01-24-2020,China,Beijing,Confirmed,14.0
01-24-2020,China,Beijing,Recovered,1.0
01-24-2020,China,Chongqing,Confirmed,18.0
01-24-2020,China,Hunan,Confirmed,15.0
01-24-2020,China,Guangxi,Confirmed,18.0
01-24-2020,China,Shanghai,Confirmed,4.0
01-24-2020,China,Shanghai,Recovered,1.0
01-24-2020,China,Jiangxi,Confirmed,11.0
01-24-2020,China,Sichuan,Confirmed,7.0
01-24-2020,China,Shandong,Confirmed,9.0
01-24-2020,China,Anhui,Confirmed,6.0
01-24-2020,China,Fujian,Confirmed,5.0
01-24-2020,China,Henan,Confirmed,4.0
01-24-2020,China,Jiangsu,Confirmed,4.0
01-24-2020,China,Hainan,Confirmed,3.0
01-24-2020,China,Tianjin,Confirmed,4.0
01-24-2020,China,Yunnan,Confirmed,3.0
01-24-2020,China,Shaanxi,Confirmed,2.0
01-24-2020,China,Heilongjiang,Confirmed,2.0
01-24-2020,China,Heilongjiang,Deaths,1.0
01-24-2020,China,Liaoning,Confirmed,1.0
01-24-2020,China,Jilin,Confirmed,2.0
01-24-2020,Taiwan,Taiwan,Confirmed,2.0
01-24-2020,China,Ningxia,Confirmed,1.0
01-24-2020,China,Hebei,Confirmed,1.0
01-24-2020,China,Inner Mongolia,Confirmed,1.0
01-24-2020,United States of America,Chicago,Confirmed,1.0
01-24-2020,Japan,_,Confirmed,1.0
01-24-2020,Thailand,_,Confirmed,2.0
01-24-2020,South Korea,_,Confirmed,1.0
01-24-2020,Singapore,_,Confirmed,2.0
01-24-2020,France,_,Confirmed,2.0
01-25-2020,China,Hubei,Confirmed,212.0
01-25-2020,China,Hubei,Deaths,16.0
01-25-2020,China,Hubei,Recovered,1.0
01-25-2020,China,Guangdong,Confirmed,25.0
01-25-2020,China,Zhejiang,Confirmed,19.0
01-25-2020,China,Chongqing,Confirmed,30.0
01-25-2020,China,Hunan,Confirmed,19.0
01-25-2020,China,Beijing,Confirmed,5.0
