date,country,state,city,status,value
01-22-2020,China,Anhui,_,Confirmed,1.0
01-22-2020,China,Beijing,_,Confirmed,14.0
01-22-2020,China,Chongqing,_,Confirmed,6.0
01-22-2020,China,Fujian,_,Confirmed,1.0
01-22-2020,China,Guangdong,_,Confirmed,26.0
01-22-2020,China,Guangxi,_,Confirmed,2.0
01-22-2020,China,Guizhou,_,Confirmed,1.0
01-22-2020,China,Hainan,_,Confirmed,4.0
01-22-2020,China,Hebei,_,Confirmed,1.0
01-22-2020,China,Henan,_,Confirmed,5.0
01-22-2020,China,Hubei,_,Confirmed,444.0
01-22-2020,China,Hubei,_,Deaths,17.0
01-22-2020,China,Hubei,_,Recovered,28.0
01-22-2020,China,Hunan,_,Confirmed,4.0
01-22-2020,China,Jiangsu,_,Confirmed,1.0
01-22-2020,China,Jiangxi,_,Confirmed,2.0
01-22-2020,China,Liaoning,_,Confirmed,2.0
01-22-2020,Macau,Macau,_,Confirmed,1.0
01-22-2020,China,Ningxia,_,Confirmed,1.0
01-22-2020,China,Shandong,_,Confirmed,2.0
01-22-2020,China,Shanghai,_,Confirmed,9.0
01-22-2020,China,Shanxi,_,Confirmed,1.0
01-22-2020,China,Sichuan,_,Confirmed,5.0
01-22-2020,Taiwan,Taiwan,_,Confirmed,1.0
01-22-2020,China,Tianjin,_,Confirmed,4.0
01-22-2020,United States of America,Washington,_,Confirmed,1.0
01-22-2020,China,Yunnan,_,Confirmed,1.0
01-22-2020,China,Zhejiang,_,Confirmed,10.0
01-22-2020,Japan,_,_,Confirmed,2.0
01-22-2020,Thailand,_,_,Confirmed,2.0
01-22-2020,South Korea,_,_,Confirmed,1.0
01-23-2020,China,Anhui,_,Confirmed,8.0
01-23-2020,China,Beijing,_,Confirmed,8.0
01-23-2020,China,Chongqing,_,Confirmed,3.0
01-23-2020,China,Fujian,_,Confirmed,4.0
01-23-2020,China,Gansu,_,Confirmed,2.0
01-23-2020,China,Guangdong,_,Confirmed,6.0
01-23-2020,China,Guangdong,_,Recovered,2.0
01-23-2020,China,Guangxi,_,Confirmed,3.0
01-23-2020,China,Guizhou,_,Confirmed,2.0
01-23-2020,China,Hainan,_,Confirmed,1.0
01-23-2020,China,Hebei,_,Deaths,1.0
01-23-2020,China,Heilongjiang,_,Confirmed,2.0
01-23-2020,Hong Kong,Hong Kong,_,Confirmed,2.0
01-23-2020,China,Hunan,_,Confirmed,5.0
01-23-2020,China,Jiangsu,_,Confirmed,4.0
01-23-2020,China,Jiangxi,_,Confirmed,5.0
01-23-2020,China,Jilin,_,Confirmed,1.0
01-23-2020,China,Liaoning,_,Confirmed,1.0
01-23-2020,Macau,Macau,_,Confirmed,1.0
01-23-2020,China,Shaanxi,_,Confirmed,3.0
01-23-2020,China,Shandong,_,Confirmed,4.0
01-23-2020,China,Shanghai,_,Confirmed,7.0
01-23-2020,China,Sichuan,_,Confirmed,3.0
01-23-2020,China,Xinjiang,_,Confirmed,2.0
01-23-2020,China,Yunnan,_,Confirmed,1.0
01-23-2020,China,Zhejiang,_,Confirmed,17.0
01-23-2020,Thailand,_,_,Confirmed,1.0
01-23-2020,Singapore,_,_,Confirmed,1.0
01-23-2020,Vietnam,_,_,Confirmed,2.0
01-24-2020,China,Hubei,_,Confirmed,105.0
01-24-2020,China,Hubei,_,Deaths,7.0
01-24-2020,China,Hubei,_,Recovered,3.0
01-24-2020,China,Guangdong,_,Confirmed,21.0
01-24-2020,China,Zhejiang,_,Confirmed,16.0
01-24-2020,China,Zhejiang,_,Recovered,1.0
01-24-2020,China,Beijing,_,Confirmed,14.0
01-24-2020,China,Beijing,_,Recovered,1.0
01-24-2020,China,Chongqing,_,Confirmed,18.0
01-24-2020,China,Hunan,_,Confirmed,15.0
01-24-2020,China,Guangxi,_,Confirmed,18.0
01-24-2020,China,Shanghai,_,Confirmed,4.0
01-24-2020,China,Shanghai,_,Recovered,1.0
01-24-2020,China,Jiangxi,_,Confirmed,11.0
01-24-2020,China,Sichuan,_,Confirmed,7.0
01-24-2020,China,Shandong,_,Confirmed,9.0
01-24-2020,China,Anhui,_,Confirmed,6.0
01-24-2020,China,Fujian,_,Confirmed,5.0
01-24-2020,China,Henan,_,Confirmed,4.0
01-24-2020,China,Jiangsu,_,Confirmed,4.0
01-24-2020,China,Hainan,_,Confirmed,3.0
01-24-2020,China,Tianjin,_,Confirmed,4.0
01-24-2020,China,Yunnan,_,Confirmed,3.0
01-24-2020,China,Shaanxi,_,Confirmed,2.0
01-24-2020,China,Heilongjiang,_,Confirmed,2.0
01-24-2020,China,Heilongjiang,_,Deaths,1.0
01-24-2020,China,Liaoning,_,Confirmed,1.0
01-24-2020,China,Jilin,_,Confirmed,2.0
01-24-2020,Taiwan,Taiwan,_,Confirmed,2.0
01-24-2020,China,Ningxia,_,Confirmed,1.0
01-24-2020,China,Hebei,_,Confirmed,1.0
01-24-2020,China,Inner Mongolia,_,Confirmed,1.0
01-24-2020,United States of America,Chicago,_,Confirmed,1.0
01-24-2020,Japan,_,_,Confirmed,1.0
01-24-2020,Thailand,_,_,Confirmed,2.0
01-24-2020,South Korea,_,_,Confirmed,1.0
01-24-2020,Singapore,_,_,Confirmed,2.0
01-24-2020,France,_,_,Confirmed,2.0
